"","ind1","ind2","ind3","ind4","ind5","ind6","ind7","ind8","ind9","ind10","ind11","ind12","ind13","ind14","ind15","ind16","ind17","ind18","ind19","ind20","ind21","ind22","ind23","ind24","ind25"
"58",1,NA,2,3,4,5,6,7,8,4,3,8,2,1,5,1,3,2,2,1,5,5,3,3,3
"59",1,NA,2,3,4,5,6,7,8,2,3,8,2,1,5,1,3,2,2,1,5,5,3,3,3
"60",1,NA,2,3,4,5,6,7,8,4,3,8,2,1,5,1,3,2,2,1,5,5,3,3,3
"61",1,NA,2,3,4,5,6,7,8,7,3,8,2,1,5,1,3,2,2,1,5,5,6,6,6
"62",1,NA,2,3,4,5,6,7,8,8,3,8,2,1,5,1,3,2,2,1,5,5,3,3,3
"63",1,NA,2,3,4,5,6,7,8,7,3,8,2,1,5,1,3,2,2,1,5,5,3,3,3
"64",1,NA,2,3,4,5,6,7,8,3,3,8,2,1,5,1,3,2,2,1,5,5,3,3,3
"65",1,NA,2,3,4,5,6,7,8,8,3,8,2,1,5,1,3,2,2,1,5,5,3,3,3
"66",1,NA,2,3,4,5,6,7,8,4,3,8,2,1,5,1,3,2,2,1,5,5,3,3,3
"67",1,NA,2,3,4,5,6,7,8,1,3,8,2,1,5,1,3,2,2,2,5,5,3,3,3
"68",1,NA,2,3,4,5,6,7,8,6,3,8,2,1,5,1,3,2,2,1,5,5,3,3,3
"69",1,NA,2,3,4,5,6,7,8,7,4,8,2,1,5,1,4,2,2,1,5,5,4,4,4
"70",1,NA,2,3,4,5,6,7,8,1,3,8,2,1,5,1,3,2,2,1,5,5,3,3,3
"71",1,NA,2,3,4,5,6,7,8,5,3,8,2,1,5,1,3,2,2,1,5,5,3,3,3
"72",1,NA,2,3,4,5,6,7,8,7,3,8,2,1,5,1,3,2,2,1,5,5,3,3,3
"73",1,NA,2,3,4,5,6,7,8,8,3,8,2,1,5,1,3,2,2,1,5,5,3,3,3
