Crop,ADD_NAME,Hect,Prodn_t,Yield_t_ha,Yield_kg_ha
Pigeonpeas,Blantyre,159062,311818,1.960355082,1960.355082
Pigeonpeas,Karonga,1704,1529,0.897300469,897.300469
Pigeonpeas,Kasungu,344,398,1.156976744,1156.976744
Pigeonpeas,Lilongwe,167,134,0.80239521,802.39521
Pigeonpeas,Machinga,66807,60588,0.906910952,906.910952
Pigeonpeas,Mzuzu,406,259,0.637931034,637.931034
Pigeonpeas,Salima,3475,3044,0.875971223,875.971223
Pigeonpeas,Shire Valley,16490,25749,1.561491813,1561.491813
,Lake Malawi,,,,
